,cities,incidents,killed,latitude,longitude
7517,Wilmington (Greenville),2,0,39.7703,-75.5799
7521,San Bernardino (county),5,0,34.09,-117.448
7582,Cleveland (Lyndhurst),4,0,41.4901,-81.6697
7581,Guntown,3,0,34.3989,-88.59200000000001
7578,Blountstown,3,0,30.4248,-85.0749
7575,Sayre (South Waverly),2,0,41.9953,-76.5411
7573,Tooele (county),2,0,40.5308,-112.298
7572,Hodgen,2,0,34.7714,-94.6901
7570,Waimea,2,0,20.2264,-155.776
7568,Milwaukee (Whitefish Bay),6,0,43.1076,-87.8959
7567,Stella,2,0,34.7363,-77.16199999999998
7566,Marlow,4,0,34.6362,-97.9312
7565,Pineville (Jane),2,0,36.5945,-94.3841
7564,Alto,2,0,42.8419,-85.4594
7562,Shasta Lake,4,0,40.66,-122.354
7561,Jaffrey,3,0,42.8158,-72.0213
7559,Des Moines (county),2,0,40.8337,-91.1108
7558,North Berwick,2,0,43.3037,-70.7334
7555,Baldwinsville (Van Buren),2,0,43.1587,-76.3327
7523,Pavo,2,0,30.9599,-83.7379
7524,Enville,2,0,35.3867,-88.4175
7529,Ash Fork,2,0,35.225,-112.484
7530,Newton Highlands,2,0,42.3204,-71.2055
7534,Mattituck,4,0,40.9913,-72.5828
7535,Madison (Monona),8,0,43.0514,-89.3267
7518,Kingston (Edwardsville),4,0,41.2739,-75.91
7536,Pewaukee,2,0,43.0768,-88.2588
7543,Coshocton,4,0,40.2764,-81.8669
7544,Buffalo (county),2,0,40.6699,-99.0689
7547,New Lenox,6,0,41.5021,-87.9677
7549,Severna Park,2,0,39.0704,-76.5452
7551,Demotte,3,0,41.1518,-87.2304
7554,West Charleston,2,0,44.8341,-72.0093
7542,Paisley,4,0,29.0127,-81.5025
7407,Decaturville,2,0,35.5842,-88.1195
7733,White (county),6,0,34.5508,-83.7236
7738,Plainfield (North Plainfield),4,0,40.5869,-74.4363
7935,Lagrange (county),3,0,41.6402,-85.2771
7931,Ashuelot,2,0,42.7891,-72.4416
7930,Des Moines (Norwoodville),2,0,41.6382,-93.5552
7929,Chelan Falls,3,0,47.8006,-119.985
7928,Jenison (Georgetown Township),2,0,42.9072,-85.792
7926,Partridge,2,0,37.022,-82.8732
7924,Hartstown,2,0,41.601000000000006,-80.4277
7922,Seekonk,7,0,41.8042,-71.3321
7921,Kailua Kona (Kailua-Kona),3,0,19.7935,-155.871
7920,Oklahoma City (The Village),3,0,35.4733,-97.5182
7917,Conifer,3,0,39.8489,-104.99
7915,Sarpy (county),4,0,41.1759,-96.2536
7911,El Rio,2,0,34.2387,-119.158
7909,Ocean Springs (Latimer),2,0,30.4831,-88.8619
7939,Bonesteel,2,0,43.0794,-98.9744
7908,Funkstown,2,0,39.6074,-77.7301
7905,Seattle (West Seattle),39,0,47.521,-122.359
7904,Tazewell (Gratton),2,0,37.1394,-81.4109
7902,Dauphin (county),2,0,40.2734,-76.7337
7897,Smithdale (Auburn),2,0,31.3382,-90.68
7896,Breathitt (county),2,0,37.4722,-83.3233
7895,Calhoun City,3,0,33.8576,-89.29299999999998
7894,Monroe (Frenchtown),2,0,41.9069,-83.4158
7893,East Saint Louis (Alorton),2,0,38.5834,-90.122
7892,Jacksonville (Baldwin),2,0,30.305,-81.9701
7889,West Norriton,2,0,40.1375,-75.36399999999998
7886,Camp Lejeune,2,0,34.7176,-77.3457
7882,S Coffeyville (South Coffeyville),2,0,36.9923,-95.6218
7880,Delanson,2,0,42.7054,-74.2423
7878,Shapleigh,5,0,43.5132,-70.816
7906,Oktaha,2,0,35.5622,-95.5097
7942,Beech Creek,2,0,41.0953,-77.5792
7944,Banks,2,0,45.6665,-123.167
7946,Matteson,4,0,41.5265,-87.7406
8007,Williamsburg (county),5,0,33.6474,-79.7977
8005,Topsham,4,0,43.944,-69.9631
8002,Kirkwood (Colerain),3,0,39.8603,-76.069
8001,Paducah (Lone Oak),6,0,37.0349,-88.6705
7999,Bellefontaine,3,0,40.3593,-83.7709
7998,Richardton,2,0,46.8857,-102.32
7997,Custer,3,0,43.7579,-103.61
7996,West Nyack,3,0,41.1216,-73.9806
7992,Suffern,3,0,41.1142,-74.1518
7990,Solo,2,0,37.241,-91.9642
7989,Noble (county),2,0,36.4638,-97.1037
7988,Rabun (county),2,0,34.9027,-83.3789
7987,Mariposa (county),3,0,37.4788,-119.9
7984,Dannemora,2,0,44.7217,-73.7243
7980,Sultan,3,0,47.8622,-121.817
7975,McKenzie (county),2,0,47.8102,-103.238
7974,Habersham (county),2,0,34.4854,-83.5818
7947,Guilford (county),4,0,35.9239,-79.8421
7948,Candia,3,0,43.0616,-71.2887
7949,Harwich Port (Harwichport),3,0,41.6678,-70.0721
7951,Jackson Heights,8,0,40.7507,-73.8763
7953,Priest River,3,0,48.1669,-116.919
7954,Reva,2,0,38.4801,-78.1662
7877,New London (Royalton),2,0,44.4129,-88.8598
7956,Anderson (county),5,0,34.5254,-82.8433
7966,Ochlocknee,3,0,30.9735,-84.0579
7967,New Egypt (Plumsted),2,0,40.0752,-74.54
7968,Craryville,2,0,42.1745,-73.654
7971,Troup (county),4,0,33.041,-84.9708
7972,Leon (county),2,0,30.4347,-84.2137
7973,Mc Calla (McCalla),2,0,33.2712,-87.0614
7958,Los Angeles (Century City),2,0,34.0632,-118.414
7876,Farmersburg,3,0,39.2482,-87.3843
7875,Woodward (county),2,0,36.4289,-99.4002
7874,South Harrison Township,2,0,39.6938,-75.2588
7794,Bowmansville,2,0,40.1968,-76.0174
7793,East Earl,5,0,40.122,-76.0691
7792,Denver (Edgewater),6,0,39.7476,-105.06
7791,Thermal (Desert Shores),2,0,33.4075,-116.039
7790,Nogales,4,0,31.3575,-110.937
7789,Beaman,2,0,42.2572,-92.8068
7788,New Orleans (Bywater),5,0,29.9643,-90.0306
7787,Sheep Springs,2,0,36.1392,-108.71
7785,Lakebay,2,0,47.2638,-122.755
7783,Spring City,3,0,35.6919,-84.8367
7781,Otter Lake,2,0,43.2408,-83.4308
7779,Belleville (Shiloh),2,0,38.5422,-89.944
7778,Sawyer (county),4,0,46.011,-91.3706
7777,Eau Claire (county),3,0,44.7723,-91.5158
7775,Yelm,4,0,46.9419,-122.604
7772,Maxwell,2,0,41.867,-93.3986
7771,Garfield (county),6,0,39.6278,-107.844
7740,Clare (county),5,0,43.8209,-84.7781
7742,Vance (county),2,0,36.2469,-78.3408
7743,Hickory (county),2,0,38.7754,-90.8683
7745,Whittemore,2,0,43.0709,-94.42
7749,Kirtland,2,0,36.7325,-108.353
7751,Murrells Inlet (Garden City),2,0,33.5411,-79.027
7796,Saginaw (county),4,0,43.2572,-83.8568
7752,Piney Flats,4,0,36.4365,-82.3466
7754,Saint Robert,6,0,37.8087,-92.122
7758,Davisburg (Springfield Township),4,0,42.783,-83.5089
7763,Hartsel,2,0,38.8865,-105.925
7765,Soap Lake,8,0,47.3748,-119.496
7768,Turners Falls,2,0,42.6091,-72.5559
7770,Clementon (Pine Hill),3,0,39.7942,-75.0005
7753,Le Grand,4,0,37.2407,-120.268
7736,Cascadia,2,0,44.3969,-122.447
7797,Ford City,2,0,40.7729,-79.5295
7804,Dagsboro,2,0,38.5497,-75.252
7869,Tremont,3,0,40.6327,-76.392
7868,Hudson Falls (Kingsbury),2,0,43.3194,-73.585
7867,Camas,6,0,45.5822,-122.43
7866,Gallipolis,3,0,38.8094,-82.2148
7865,Kaukauna,2,0,44.2932,-88.271
7864,Carter (county),5,0,36.4278,-82.0672
7859,Amelia Court House,3,0,37.3512,-77.9174
7858,South Barre,2,0,44.1731,-72.5082
7857,Glen White,2,0,37.7356,-81.2885
7855,Dunklin (county),2,0,36.2546,-90.0511
7851,Downsville,3,0,32.5856,-92.3953
7849,Moyie Springs,2,0,48.7147,-116.153
7848,Burnham,3,0,44.6754,-69.3704
7847,McCracken (county),3,0,37.0306,-88.5756
7846,Vernon Rockville (Vernon),11,0,41.8597,-72.4317
7845,Grand Marsh,2,0,43.887,-89.6536
7844,Mahanoy City (Trenton),2,0,40.8126,-76.1416
7807,Deville,4,0,31.3515,-92.1506
7810,Fairborn (Beavercreek),8,0,39.7694,-84.0493
7812,East Greenwich,4,0,41.6593,-71.5495
7813,Dayton (Washington Township),3,0,39.6558,-84.1358
7815,New Caney (Woodbranch),2,0,30.1558,-95.2149
7818,New Smyrna Beach (New Smyrna),2,0,29.0267,-80.9301
7798,Sutter (county),2,0,39.1255,-121.622
7820,Minneapolis (Edina),5,0,44.8996,-93.3679
7824,Cedar Crest,2,0,35.0957,-106.38
7826,Sand Fork (Stouts Mills),2,0,38.8746,-80.7843
7831,Cincinnati (Delhi),5,0,39.1005,-84.5994
7835,Whitley (county),4,0,36.8498,-84.1208
7838,New Hanover (county),5,0,34.2995,-77.8755
7841,Iliamna,2,0,59.6133,-155.276
7822,Mcminn (county),4,0,35.4037,-84.6479
8008,West Rutland (Ira),2,0,43.5975,-73.057
7402,Vega,2,0,35.2506,-102.46
7398,Denver (Lakewood),3,0,39.7433,-105.063
7028,Charlevoix (county),4,0,45.3251,-85.1999
7026,Handley,2,0,38.187,-81.3654
7025,Iowa (county),2,0,42.2654,-92.3768
7020,De Graff,2,0,40.219,-83.9602
7017,Robbinsville,2,0,35.3117,-83.7833
7016,Munson,2,0,40.9516,-78.1522
7015,Muleshoe,2,0,34.2225,-102.724
7013,Colquitt (county),5,0,31.1803,-83.8055
7011,Saint Augustine Beach,2,0,29.85,-81.2781
7008,Meriwether (county),2,0,32.866,-84.6114
7002,Centereach,3,0,40.8807,-72.9548
7001,Idleyld Park,2,0,44.7749,-117.834
6996,Rural Retreat,2,0,36.8975,-81.2708
6990,Grant (county),10,0,40.4866,-85.6903
7031,Minnehaha (county),2,0,43.6632,-96.8351
6988,Silver Springs Shores,2,0,29.1044,-82.0206
6984,Solvay,2,0,43.0605,-76.2181
6982,Calvert City,3,0,37.0008,-88.3859
6981,American Fork (Highland),2,0,40.3769,-111.796
6979,Barnesville,5,0,33.0135,-84.2075
6977,Harlem,5,0,33.446,-82.2956
6973,Clintonville,4,0,44.6241,-88.7549
6972,Eliot,2,0,43.1585,-70.7544
6971,Saint Paul (New Brighton),5,0,45.0643,-93.2056
6963,Webb City,3,0,37.1866,-94.5269
6962,Mills,20,0,42.8562,-106.389
6960,Meldrim,2,0,32.1412,-81.3747
6957,Cochecton,3,0,41.7126,-74.9539
6955,Cape May (county),2,0,38.9658,-74.9278
6952,Botetourt (county),4,0,37.5151,-79.7331
6985,Darlington (county),11,0,34.3874,-80.0814
7034,Stokes,2,0,35.7197,-77.2665
7040,Coleman,4,0,31.8272,-99.427
7045,Kinloch,2,0,38.7449,-90.3191
7107,Convent,2,0,30.0905,-90.9008
7106,McKeesport,2,0,40.3422,-79.8412
7103,Pine Brook,2,0,40.8603,-74.3406
7101,Salcha,2,0,64.4363,-146.90200000000004
7100,Funston,2,0,31.1999,-83.8735
7097,Okeechobee (county),3,0,27.209,-80.8203
7096,Olmsted (county),4,0,44.0454,-92.4801
7094,Toutle,2,0,46.3672,-122.585
7093,Larsen,2,0,44.1989,-88.6206
7086,Tift (county),2,0,31.5756,-83.5496
7085,Maple Grove,3,0,45.1176,-93.4524
7084,Snohomish (county),3,0,47.8385,-122.25
7082,Easton (Palmer Township),4,0,40.6955,-75.2667
7081,Bayshore,2,0,40.4091,-74.0416
7080,Wood (county),4,0,32.8222,-95.4735
7078,Olar,2,0,33.1167,-81.1345
7076,Sedgwick (county),5,0,37.6348,-97.3032
7048,Snowville,2,0,41.967,-112.866
7050,Mt. Juliet,2,0,36.1685,-86.523
7053,Tompkinsville,2,0,36.7023,-85.6916
7058,Esperance,2,0,42.7612,-74.2565
7060,Harlandale,2,0,29.3728,-98.5181
7061,Bethel Heights,2,0,36.2142,-94.1294
6950,Hazel,4,0,37.7987,-83.4149
7063,Lovell,2,0,44.1889,-70.9272
7066,Wild Rose,2,0,44.1811,-89.2466
7069,Baywood,2,0,40.7558,-73.2913
7070,Beaufort (county),23,0,32.2512,-80.8745
7071,Moyock,3,0,36.4933,-76.1964
7074,Topanga,2,0,34.1418,-118.604
7075,Reevesville,2,0,33.2215,-80.6916
7065,Venetie,2,0,67.0139,-146.41899999999995
6948,Dunseith,3,0,48.8864,-100.111
6947,Rockingham (county),2,0,36.2809,-79.6177
6945,De Soto (county),2,0,31.9575,-93.9276
6860,Guerneville,2,0,38.5038,-122.999
6858,Hague,4,0,43.7312,-73.5013
6855,Laughlintown,2,0,40.2132,-79.1848
6851,Little Woods,2,0,30.0351,-90.009
6850,Sugarloaf,4,0,34.2397,-116.826
6847,Tanacross,2,0,63.3547,-143.361
6846,Saint Louis (Dellwood),2,0,38.7449,-90.2793
6845,Juneau (county),2,0,43.7954,-90.0755
6843,Uncasville,4,0,41.4888,-72.10300000000002
6839,Kegley,2,0,37.3991,-81.139
6836,New Castle (county),19,0,39.6711,-75.5944
6833,Atlanta (Cumberland),2,0,33.8889,-84.4615
6832,West Islip,2,0,40.7106,-73.3066
6831,Ferriday,4,0,31.6269,-91.562
6829,Spruce Head,2,0,44.0049,-69.1622
6827,Superior Charter Township,2,0,42.2687,-83.57700000000001
6825,Strayhorn,2,0,34.5892,-90.1605
6804,Pittston (Avoca),3,0,41.3354,-75.7288
6805,Racine (county),4,0,42.6969,-87.8259
6807,Tippecanoe,2,0,41.2082,-86.1226
6809,Hickory Flat,2,0,34.6143,-89.1979
6810,Baxter (county),11,0,36.3328,-92.3638
6812,Underhill,3,0,44.5935,-72.9335
6862,New Holstein,2,0,43.8916,-88.1477
6814,Holdrege,2,0,40.442,-99.3849
6816,Stanislaus (county),7,0,37.6139,-120.939
6817,Jamaica (Jfk Airport),2,0,40.6548,-73.79
6818,Harrison (county),22,0,32.5511,-94.3807
6819,Rush (county),2,0,39.6106,-85.4405
6821,Blakeslee,3,0,41.0663,-75.5605
6824,Panora,3,0,41.7317,-94.3345
6815,Aston,4,0,39.8688,-75.413
7109,Lehi,2,0,40.3916,-111.851
6870,Lemoyne (Wormleysburg),3,0,40.2203,-76.8222
6873,Forestdale,2,0,33.5543,-86.8845
6944,Alleghany (county),2,0,36.5052,-81.1153
6943,Porter (county),4,0,41.4822,-87.0461
6939,Quitman (Fairbanks),7,0,35.3842,-92.2157
6937,Horicon,2,0,43.4516,-88.6231
6936,Lititz,7,0,40.1934,-76.2207
6935,Cherry Plain,2,0,42.63800000000001,-73.3579
6932,Hickory Hills,3,0,41.7182,-87.80799999999998
6927,Pine Castle,2,0,28.4708,-81.3787
6926,Tuluksak,4,0,61.1084,-160.94899999999996
6925,Tununak,3,0,60.6043,-164.76
6924,Eddy (county),6,0,32.4786,-104.113
6923,Ellenton,5,0,27.5366,-82.4852
6922,Absecon (Galloway),6,0,39.4264,-74.503
6917,Sherry,2,0,44.6001,-89.8796
6916,Burr Ridge,2,0,41.738,-87.9292
6915,New Gloucester,4,0,43.9783,-70.314
6914,Melvin,3,0,40.5672,-88.2494
6875,Swanville,2,0,44.5257,-69.0519
6878,Flat Lick,2,0,36.904,-83.7426
6882,Yell (county),2,0,35.1776,-93.1912
6883,Fort Edward (Moreau),4,0,43.2611,-73.5946
6885,Underwood,3,0,41.3869,-95.6767
6891,Fripp Island,2,0,32.3278,-80.4615
6872,Mount Sinai,4,0,40.9217,-73.0144
6894,Grain Valley,2,0,39.0163,-94.2016
6897,Hulmeville,2,0,40.1455,-74.9127
6898,Senath,2,0,36.1342,-90.1598
6900,Marysville (Linda),3,0,39.125,-121.56
6901,Shelburn,2,0,39.1783,-87.3874
6908,Flagler (county),5,0,29.5003,-81.2238
6912,Huntingtown,3,0,38.645,-76.6253
6896,Yankee Springs,2,0,42.7064,-85.4656
7401,Saint Marys (St Marys),2,0,40.5423,-84.3894
7114,Ona,5,0,38.4313,-82.2264
7117,Oconto,2,0,44.893,-87.8616
7313,Hart (county),2,0,37.2607,-85.6917
7312,Ivydale,2,0,38.5496,-81.0376
7311,Fort Ripley,2,0,46.1426,-94.2782
7310,Clallam (county),2,0,48.0405,-124.017
7306,Crittenden,2,0,38.7846,-84.6032
7305,Georges Mills,2,0,43.4299,-72.0569
7302,Vanderburgh (county),8,0,37.9915,-87.5154
7301,Lincolnwood (chi),2,0,42.0019,-87.7259
7300,Southampton,18,0,40.9075,-72.4085
7297,Frazier Park,2,0,34.8228,-118.945
7296,Wabasha,2,0,44.3711,-92.0354
7294,Pocono Summit,2,0,41.1101,-75.4091
7291,Enon Valley,3,0,40.8548,-80.457
7290,Saint Albans (St Albans),8,0,44.8453,-73.1069
7314,Hollis,4,0,43.6347,-70.6209
7289,South Yarmouth,5,0,41.6619,-70.2014
7287,Lake Luzerne,2,0,43.3192,-73.8341
7286,Hinds (county),2,0,32.3291,-90.2367
7283,Washoe (county),2,0,39.5946,-119.783
7279,Point Pleasant,3,0,38.8399,-82.1261
7277,Lehigh (county),4,0,40.5791,-75.5612
7275,Renville (county),2,0,48.7631,-101.3
7271,Santo Domingo Pueblo,2,0,35.5154,-106.346
7269,West Yarmouth,6,0,41.6581,-70.2655
7268,Pasco (county),6,0,28.3005,-82.6958
7266,Saint Petersburg (Madeira Beach),2,0,27.7753,-82.6384
7265,Merrick,6,0,40.6687,-73.5547
7264,Portland (Maywood Park),2,0,45.5536,-122.558
7260,Hana,2,0,20.6391,-156.115
7258,Doylestown,2,0,40.9457,-81.687
7288,Tyner,2,0,37.3807,-83.8942
7315,Kitsap (county),2,0,47.6477,-122.641
7316,Granite City (Pontoon Beach),3,0,38.7317,-90.0836
7317,Broomall,2,0,39.9651,-75.3889
7394,Unicoi (county),4,0,36.1317,-82.4231
7393,Washington (Washington Township),3,0,42.7175,-83.0629
7392,Mountain Home (Salesville),2,0,36.236,-92.2713
7386,Fort Calhoun,4,0,41.4221,-96.0159
7383,Rainsville (Shiloh),2,0,34.4881,-85.8298
7382,Triangle,11,0,38.5393,-77.32600000000002
7380,Iberia (county),2,0,30.0241,-91.8129
7379,Nyack,7,0,41.09,-73.9224
7378,South Royalton (Royalton),3,0,43.8336,-72.532
7375,Rexville,2,0,42.0274,-77.6564
7372,Connelly Springs,5,0,35.6102,-81.6068
7371,Cape Girardeau (county),2,0,37.3059,-89.5182
7368,Marlborough (Marlboro),4,0,42.3452,-71.5749
7366,Campti,5,0,31.895,-93.1218
7365,Littlefield (Beaver Dam),2,0,36.8872,-113.93
7363,Kay (county),2,0,36.8234,-97.179
7356,Chicago Heights (Lynwood),2,0,41.5391,-87.5392
7318,Tumwater,5,0,46.9946,-122.908
7319,Dakota (county),2,0,43.9136,-91.3605
7322,Mullan,4,0,47.4719,-115.797
7324,Helper,2,0,39.6908,-110.853
7325,Dahlonega,2,0,34.5261,-83.9844
7332,Greenwell Springs,2,0,30.5796,-90.9943
7257,Cohocton,2,0,42.4612,-77.5524
7341,Tonasket,2,0,48.5921,-119.1
7344,Watsontown,2,0,41.0876,-76.8146
7346,East Meadow,3,0,40.7285,-73.5465
7348,Corfu (Pembroke),3,0,42.9771,-78.3946
7349,Frederick (county),3,0,39.403,-77.2949
7350,Hardin (county),3,0,37.6047,-86.0033
7351,Sandown,2,0,42.9597,-71.2166
7342,Alpharetta (Johns Creek),3,0,34.0336,-84.1906
7256,Cincinnati (Silverton),5,0,39.1019,-84.5133
7254,Issaquah,6,0,47.5469,-122.007
7251,Chattanooga (Red Bank),6,0,35.088,-85.31
7178,Hill Afb,2,0,41.1094,-111.979
7177,Pueblo (Blende),3,0,38.2857,-104.583
7176,Dawson Springs,3,0,37.1097,-87.6435
7173,Manitou Springs,6,0,38.8592,-104.908
7171,Clackamas (county),3,0,45.3386,-122.235
7163,Maple Falls,2,0,48.9495,-122.148
7162,Freetown,4,0,38.9742,-86.1272
7161,North Huntingdon,2,0,40.3302,-79.7307
7160,Cornville,2,0,44.853,-69.7348
7155,Wolfforth,3,0,33.5179,-102.012
7154,Bluffdale,2,0,40.437,-111.931
7153,Trigg (county),5,0,36.78,-88.0614
7150,San Carlos Park,2,0,26.4647,-81.814
7149,Sallis,2,0,33.0723,-89.8517
7148,Nowata (county),4,0,36.7426,-95.5936
7147,Kingsford Heights,2,0,41.4806,-86.6917
7142,McKee,2,0,37.504,-84.1273
7118,Lochearn,2,0,39.3561,-76.7234
7119,Deposit,3,0,42.0778,-75.4315
7121,Lumberton Township,2,0,39.9823,-74.7793
7123,Tequesta,2,0,26.9612,-80.0924
7124,Rio Grande,3,0,39.0139,-74.8735
7125,West Newton,4,0,40.2099,-79.767
7179,Bledsoe,2,0,36.9204,-83.2678
7126,Glen Arm,2,0,39.4385,-76.4837
7133,Waves,2,0,35.5668,-75.4685
7134,McMinn (county),3,0,35.431,-84.7713
7137,Elkhorn City,2,0,37.2684,-82.4246
7138,Flat Rock,3,0,42.1118,-83.2748
7140,Nellis,2,0,38.1499,-81.7438
7141,Herriman,5,0,40.4786,-112.015
7130,Summersville,2,0,38.3686,-80.8204
7115,Caton,2,0,42.0034,-77.0207
7180,Wiggins,5,0,30.8324,-89.1375
7184,Readfield,5,0,44.3813,-69.941
7249,DeSoto,2,0,32.6041,-96.8572
7246,Los Angeles (West Los Angeles),2,0,34.0385,-118.452
7245,Ionia (county),3,0,43.1049,-85.10700000000001
7244,Willington,5,0,41.9183,-72.2638
7241,Carlin,2,0,40.7138,-116.104
7240,Canisteo,4,0,42.2618,-77.5931
7239,Chalkyitsik,2,0,66.6544,-143.722
7238,Red Bay,3,0,34.5165,-87.7747
7236,Westborough,2,0,42.285,-71.6099
7234,Mukwonago,2,0,42.8541,-88.315
7232,Aspen,5,0,39.0822,-106.808
7230,Hanover (county),2,0,37.6088,-77.3218
7226,Plainville,7,0,34.3973,-85.0202
7225,Eaton (Niles),2,0,41.743,-86.2461
7223,Verplanck,2,0,41.2519,-73.961
7222,Carpinteria,4,0,34.4021,-119.448
7218,Searsburg,2,0,42.8904,-72.9523
7186,Faulkner (county),5,0,35.0261,-92.4097
7189,Fairfield (county),2,0,39.9332,-82.7649
7190,Dickenson (county),2,0,37.0929,-82.3452
7192,Pennsville Township,2,0,39.6433,-75.5194
7193,Mattawa (Desert Aire),3,0,46.688,-119.927
7197,Cotton (county),2,0,34.3091,-98.3965
7182,Cortland (county),2,0,42.6077,-76.1592
7200,Ellis,2,0,38.9455,-99.5602
7208,Southwick,3,0,42.0862,-72.8129
7212,St Joseph,2,0,39.7692,-94.8285
7214,Saint Clair (county),6,0,33.6735,-86.4382
7215,Ocean City,10,0,39.2731,-74.586
7216,Sunny Isles Beach,2,0,25.9261,-80.1441
7217,Rolling Meadows,3,0,42.0591,-88.0112
