cities,incidents,latitude,longitude
Sutton (Chickaloon),2,61.7803,-148.562
Gloucester City (Gloucester),2,39.8918,-75.1163
Shelbiana,2,37.415,-82.4622
Leaf River,2,42.1264,-89.4025
Brookwood,2,33.2596,-87.3454
Leivasy,2,38.1612,-80.6909
Perryton,2,36.3912,-100.81
Pisgah Forest,2,35.2577,-82.6737
Copiah,2,31.8604,-90.3939
Yaphank,2,40.8322,-72.9265
Mission Hills,2,34.2505,-118.467
Sharp (county),2,35.944,-91.5433
Marquesas Keys,2,24.5754,-82.1033
Spring Valley (Kaser),2,41.1127,-74.0446
Waitsfield,2,44.1911,-72.8024
Millersport,2,39.9036,-82.5328
Orion Township,2,42.7232,-83.2928
Ravena,2,42.4728,-73.806
Water View,2,37.7039,-76.6495
Carrabelle,2,29.8612,-84.6504
Texico,2,38.4616,-88.8575
Kootenai (county),2,47.5747,-116.44
Losantville,2,40.0242,-85.1827
Lindsborg,2,38.6236,-97.6303
Clarinda,2,40.7381,-95.0263
Mifflintown,2,40.5605,-77.3027
Cape Neddick,2,43.2538,-70.6474
Canton (Leroy),2,41.6614,-76.8007
Red River,2,36.7103,-105.41
Dover (Victory Gardens),2,40.8746,-74.5458
Jacksonboro,2,32.7717,-80.4635
Kilauea,2,22.2119,-159.412
Johnston County,2,35.5497,-78.2436
Eldon,2,38.3313,-92.5844
Yates City,2,40.7749,-90.0099
St Joseph (county),2,41.6491,-86.164
Mont Belvieu,2,29.8439,-94.8558
Hayfield,2,43.8914,-92.8465
Byron Center (Byron Township),2,42.8264,-85.6247
Luxora,2,35.7546,-89.9281
Mooresburg,2,36.3623,-83.1871
Wells River,2,44.1475,-72.0427
Bedford (Bedford Heights),2,41.4094,-81.4996
Berlin Heights,2,41.3316,-82.4936
Cartwright,2,33.8537,-96.5787
Pocahontas,2,36.2607,-90.9696
Flanders (Roxbury Township),2,40.8908,-74.7078
Neche,2,48.9399,-97.557
Hatch,2,32.6699,-107.153
Valley Falls,2,39.4209,-95.4692
New Madrid,2,36.5846,-89.5325
Bushland,2,35.2162,-102.075
Greenwood (county),2,34.2174,-82.0872
Clinton (Kirkland),2,43.0197,-75.3845
Duncannon (Watts),2,40.4317,-77.0014
Sale City,2,31.2777,-84.0638
Santa Barbara (county),2,34.9238,-120.407
Ravenna Township,2,44.6862,-92.7581
Clinton Corners,2,41.8299,-73.7631
Huntington Park (Walnut Park),2,33.9746,-118.23
Fabens,2,31.5053,-106.151
Glide,2,43.3237,-123.024
Fayetteville (Beckwith),2,38.0815,-81.1401
Brooks,2,44.5564,-69.1469
Ellsworth (Lamoine),2,44.4752,-68.3065
De Valls Bluff (Devalls Bluff),2,34.7848,-91.4585
Elyria (Sheffield Village),2,41.4244,-82.0739
Rusk County,2,32.1613,-94.9282
Maryvale,2,33.4718,-112.174
Hattiesburg (Hattiesbg),2,31.3285,-89.3467
Broadview Heights,2,41.325,-81.6466
Saint Simons Island (St Simons Island),2,31.2075,-81.3757
Mccurtain (county),2,34.044,-94.7467
Lometa,2,31.2235,-98.4018
Blue Lake,2,40.8893,-123.792
Garden City (Hidden Springs),2,43.7159,-116.267
Storrs Mansfield,2,41.78,-72.2323
King And Queen (county),2,37.8818,-77.1014
Brandenburg,2,37.9717,-86.1507
New Haven (Lenox),2,42.7799,-82.7529
Redford Twp (Redford Charter Township),2,42.3965,-83.2824
Round Lake (Round Lake Park),2,42.3568,-88.0985
Eddington,2,44.8269,-68.6923
Novelty,2,40.0055,-92.1279
Stateline,2,38.9728,-119.911
White Mountain,2,64.6814,-163.406
Mount Jackson,2,38.8469,-78.7056
Center City (Chisago Lake),2,45.4309,-92.7968
Peach (county),2,32.563,-83.884
Lincoln Parish,2,32.5536,-92.6955
Bridgton,2,44.023,-70.6892
Vanzant,2,36.9699,-92.3031
Arlington (Sandgate),2,43.1126,-73.2113
Breaux Bridge (Henderson),2,30.3181,-91.8739
Carl Junction,2,37.2056,-94.5613
Greeneville (Baileyton),2,36.3386,-82.8399
Alna,2,44.0791,-69.6393
Milmay,2,39.4455,-74.8613
Geneva Township,2,42.4056,-86.1295
Kittrell,2,36.1751,-78.4247
Altura (Elba),2,44.1083,-91.9501
Mattawa,2,46.723,-119.917
Prospect Park,2,39.8838,-75.3083
Skipperville,2,31.5577,-85.5455
Port Ewen,2,41.9131,-73.9804
Nunam Iqua,2,62.5092,-164.453
Julian,2,35.9855,-79.5981
Chuckey,2,36.1219,-82.6162
Myakka City,2,27.2729,-82.1339
Merrick (county),2,41.1213,-98.0067
Richland Parish,2,32.3887,-91.7928
Wilkes Barre (Hanover),2,39.7507,-77.0401
Sabetha,2,39.8991,-95.8094
Hyattsville (Edmonston),2,38.9464,-76.9355
Sylvania Township,2,41.6664,-83.7143
La Porte (LaPorte),2,41.6147,-86.7292
Friona,2,34.638,-102.735
Wilkesville,2,39.1948,-82.3156
Macks Creek,2,37.9016,-92.9491
Hardinsburg,2,38.457,-86.2749
O'brien,2,42.0451,-123.719
Russell (Clare),2,44.3754,-75.0613
Fresno (Malaga),2,36.6818,-119.734
Olmstead,2,36.7543,-87.0192
Anoka (Nowthen),2,45.2454,-93.4148
Ivanof Bay,2,55.9105,-159.492
Unalaska,2,53.8714,-166.541
Mount Vernon (Mt Vernon),2,40.9043,-73.8343
Bloomingburg,2,41.5435,-74.4782
Donalds,2,34.3863,-82.3487
Covington (Claiborne),2,30.6269,-90.0936
Santa Fe (La Cienga),2,35.5931,-106.12
Winstonville,2,33.914,-90.7515
Landisville,2,40.099,-76.4248
Larue,2,32.0738,-95.5925
Cranford,2,40.6485,-74.3098
Mclean (county),2,47.6479,-101.496
Peach Bottom (Penn Hill),2,39.7677,-76.1837
Hiawatha (Hamlin),2,39.8581,-95.5401
Silex,2,39.103,-91.1084
La Porte (county),2,41.7341,-86.7083
Bakersville,2,36.0681,-82.114
Walden,2,41.5719,-74.1451
Elyria (Ridgeville),2,41.3689,-82.0188
Gulf,2,35.5561,-79.2835
Shafer,2,45.3876,-92.6879
Keyes,2,37.5476,-120.913
Novinger,2,40.2318,-92.7056
Pine Plains,2,42.0202,-73.699
Villas (Del Haven),2,39.0449,-74.9182
Hammon,2,35.6328,-99.3769
Haiku,2,20.9163,-156.321
Spring Hill (Shady Hills),2,28.4136,-82.503
Hanoverton,2,40.7559,-80.9628
Rome City,2,41.4958,-85.3636
Perkasie,2,40.3711,-75.2906
Washington (Spauldings),2,38.8613,-76.9499
Leachville,2,35.9892,-90.1583
Cutchogue,2,41.0081,-72.4712
Cochise,2,32.0196,-109.905
Neligh,2,42.1276,-98.03
Brooker,2,29.862,-82.2837
Seaford (Blades),2,38.6382,-75.5967
Silver Spring (Aspen Hill),2,39.0783,-77.0743
Huntington Station (South Huntington),2,40.8235,-73.4013
Durham (county),2,35.9946,-78.8295
North Middletown,2,38.1451,-84.11
Van Horn,2,31.0433,-104.827
Dumas (Pendleton),2,33.8902,-91.4972
Parmelee,2,43.3528,-101.072
Collbran,2,39.2387,-107.962
El Paso (Socorro),2,31.65,-106.292
Van Horne,2,42.0075,-92.0897
Oceano,2,35.1033,-120.621
Shingle Springs (Cameron Park),2,38.6955,-120.998
Jersey Mills (Pine Creek),2,41.3573,-77.4066
Cedarbluff,2,33.6118,-88.8013
Milan (York Twp),2,42.0891,-83.6801
Hooper,2,37.7474,-105.886
Cameron Parish (county),2,29.8434,-93.178
Abercrombie,2,46.4478,-96.7288
Lincoln University,2,39.8078,-75.9363
Crystal City,2,38.2174,-90.3818
Drew (county),2,33.634,-91.7833
Greenville (Mason),2,42.7446,-71.7733
Little Falls,2,45.9339,-94.5142
Lyle,2,43.5092,-92.9407
Saint Amant,2,30.2407,-90.8493
Wisner,2,31.9603,-91.7087
Sabattus,2,44.0881,-70.0609
Martinton,2,40.917,-87.7487
Haw River,2,36.011,-79.2787
Thorpe,2,37.4413,-81.5968
Kalkaska,2,44.7323,-85.1771
Spring Arbor,2,42.1998,-84.5209
Wetumka,2,35.1739,-96.2301
Edisto Island (Edisto Beach),2,32.5234,-80.3014
Mannford,2,36.1215,-96.357
Christopher,2,37.9736,-89.0538
Oakman,2,33.7289,-87.3499
San Diego (Pacific Beach),2,32.7911,-117.235
Eastford,2,41.9102,-72.1139
Beverly (Edgewater Park),2,40.0513,-74.9083
St. Landry,2,30.8933,-92.2978
Decatur (county),2,39.7758,-100.46
Acadia (county),2,30.2795,-92.3967
Mashantucket,2,41.4574,-71.9747
Chincoteague Island (Chincoteague),2,37.9323,-75.3795
Shishmaref,2,66.0396,-165.509
Los Altos (Los Altos Hills),2,37.3529,-122.12
Whitefish,2,48.4116,-114.337
Hoonah,2,58.11,-135.445
Oakmont,2,40.5131,-79.8426
Clarklake,2,42.1481,-84.3259
Tanner,2,34.7311,-86.9575
Mayes (county),2,36.1922,-95.3419
Bradford (county),2,41.8161,-76.3641
Odin,2,38.6187,-89.0523
La Fargeville,2,44.2302,-75.9304
Buffalo Grove,2,42.1398,-87.9592
Saranac,2,44.6367,-73.7992
Lake Norden,2,44.5797,-97.2123
Redan,2,33.7391,-84.1688
Tebbetts,2,38.6818,-92.0028
Woodhaven,2,40.6934,-73.8481
Farrell,2,41.2177,-80.4912
New Goshen,2,39.5795,-87.4611
Rancho Santa Fe,2,33.0172,-117.244
Bob White,2,37.95,-81.7139
Lakeland (Lake Saint Croix Beach),2,44.9241,-92.7648
Cut Off,2,29.5104,-90.3249
Naches,2,46.7644,-120.817
Steeles Tavern (Spottswood),2,37.9602,-79.2447
Ruckersville,2,38.2357,-78.4029
Brocton,2,42.3946,-79.4501
Chignik,2,56.2945,-158.404
Maben (Pierpont),2,37.6596,-81.3962
Townsend (Eulonia),2,31.5211,-81.4329
Hamilton City,2,39.7393,-122.014
Wyano,2,40.1951,-79.697
Valdez,2,61.1048,-146.217
Homosassa,2,28.756,-82.5323
Minneapolis (Golden Valley),2,44.9715,-93.3706
Peoria (Bartonville),2,40.6799,-89.6825
Screven,2,31.5421,-82.1226
Miami (Palmetto Bay),2,25.7609,-80.4209
Buna,2,30.4304,-93.9788
Myrtle Point,2,43.0645,-124.138
Needmore (Belfast),2,40.0804,-80.0947
Tampa (Palm River),2,27.9427,-82.3897
Cincinnati (Finneytown),2,39.2171,-84.5422
Key Biscayne,2,25.6971,-80.1648
Hotevilla,2,35.9214,-110.673
Landers (Johnson Valley),2,34.3471,-116.557
Sun City (Romoland),2,33.7683,-117.136
Jena,2,31.694,-92.1751
Daingerfield,2,33.0191,-94.7272
Tell City,2,37.9584,-86.7645
Saxtons River,2,43.1378,-72.507
Newton Falls (Braceville),2,41.1854,-80.9726
Schuyler (county),2,42.3789,-76.9011
Lusk,2,43.3788,-104.223
Glenmont,2,42.5866,-73.7725
Warne,2,34.9899,-83.8782
La Grande,2,45.3271,-118.087
Chisholm,2,47.4836,-92.8812
Advance (Bermuda Run),2,36.0057,-80.4401
Woodcliff Lake,2,41.0198,-74.0325
Montgomery City,2,38.9764,-91.5141
Hyattsville (Lewisdale),2,38.9725,-76.9776
Houghton,2,47.116,-88.5759
Buena,2,39.5249,-74.9382
Riceville,2,35.3804,-84.6282
Dayton (Harrison Township),2,39.7939,-84.2464
Brady,2,41.0298,-100.457
Hill City,2,43.9285,-103.576
Mount Jewett,2,41.5834,-78.4906
Port Hope,2,43.9442,-82.8362
Rindge,2,42.7623,-72.0383
Whigham,2,31.0255,-84.3244
Lidgerwood,2,46.0711,-97.1698
Tea,2,43.4518,-96.8395
Modoc (county),2,41.4565,-120.629
Ardmore (Dickson),2,34.1799,-96.9859
Arnett,2,37.8207,-81.4396
Armona,2,36.3087,-119.705
Hardy (Highland),2,36.2938,-91.4744
Cable,2,40.1664,-83.5952
Maize,2,37.7547,-97.4448
Tuscarawas (county),2,40.4795,-81.4414
Rock Falls (Yeowardville),2,41.7545,-89.66
Lindsborg (Smolan),2,38.5907,-97.6758
Lanesboro,2,43.6585,-91.9018
Green City,2,40.2579,-92.9537
Mingo (county),2,37.7009,-82.263
Pecks Mill,2,37.9402,-81.9692
Salyer,2,40.8973,-123.59
Medicine Lodge,2,37.2921,-98.5787
Glennallen,2,62.1597,-145.462
Danby (Mount Tabor),2,43.3507,-72.9805
Heflin (Chulafinnee),2,33.5488,-85.6504
Mobeetie,2,35.5297,-100.446
Northfork (Ashland),2,37.4209,-81.4401
West Columbia (Dixiana),2,33.8942,-81.0296
Fort Morgan,2,40.2499,-103.8
Fairmont (White Hall),2,39.4251,-80.1911
Hilton Head Island (Fairfield),2,32.2163,-80.7526
East Sparta,2,40.6774,-81.3784
Epps,2,32.5991,-91.4805
Celeste,2,33.2959,-96.1986
Oxford (Miami),2,39.9238,-82.7712
Avoca (Greenwood Township),2,43.0701,-82.6933
Bullard (Mount Selman),2,32.0723,-95.3277
Lineville,2,33.3305,-85.648
Carlinville,2,39.2846,-89.8751
Mount Carmel (Mt Carmel),2,40.7978,-76.4073
Pinch,2,38.4087,-81.4818
Sunol,2,37.5944,-121.889
Nyssa,2,43.8741,-116.999
Evansville (Mccutchanville),2,38.0746,-87.5109
Wewahitchka (White City),2,30.1077,-85.1989
Nipomo,2,35.0161,-120.493
Normandy Park,2,47.4389,-122.353
Barnesville (Somerton),2,39.9883,-81.1772
Hernando (county),2,28.5255,-82.2879
Blunt,2,44.4992,-99.9517
Hedgesville,2,39.4752,-78.117
Comstock Park,2,43.0388,-85.6897
Gates Mills,2,41.5058,-81.4385
Tuscarawas,2,40.7934,-81.5952
Emily,2,46.7331,-93.9579
Bonnyman,2,37.3,-83.25
Okahumpka,2,28.7502,-81.8961
Pottersville,2,43.7295,-73.8123
Pelican Rapids (Cormorant),2,46.729,-96.1327
Old Lyme (Lyme),2,41.33,-72.3072
Boyce (Rapides),2,31.3198,-92.589
Cooksburg,2,41.3324,-79.2092
Dushore,2,41.5247,-76.5499
Cochran,2,32.3875,-83.3512
Ypsilanti (Ypsilanti Township),2,42.2585,-83.6142
South County,2,39.0931,-93.5456
Bonnerdale,2,34.3888,-93.5114
Miner (county),2,44.0167,-97.5405
Dillonvale,2,40.1967,-80.804
Falling Waters,2,39.5659,-77.8759
Hickory (Viola),2,36.8548,-88.7061
Knightstown,2,39.8445,-85.5261
California City (Calif City),2,35.1259,-117.976
Polebridge,2,48.841,-114.362
Ekuk,2,58.8122,-158.561
Jamison,2,40.2651,-75.0834
Glorieta,2,35.5694,-105.757
Closplint,2,36.8897,-83.0496
Orlando (Hiawassee),2,28.5761,-81.4421
Lees Summit (Lee's Summit),2,38.905,-94.3454
Sabillasville,2,39.6621,-77.4402
West Enfield (Lowell),2,45.2113,-68.4798
Polk,2,40.9667,-75.527
Northumberland (county),2,40.8508,-76.7678
Tawas City,2,44.2773,-83.5069
Antreville (county),2,34.1932,-82.4099
Harpursville,2,42.149,-75.6875
Broseley,2,36.6941,-90.2817
Bollinger (county),2,37.3084,-90.0447
Grenada (county),2,33.7766,-89.7433
Many (Sabine),2,31.5235,-93.5497
Pine Ridge (Pine Ridge Reservation),2,43.2322,-102.697
Vina,2,39.9537,-122.029
Glenrock (Rolling Hills),2,42.8614,-105.872
Villisca,2,40.9528,-94.9835
Niota,2,35.5862,-84.5959
Zanesfield,2,40.3406,-83.627
Sandy Creek,2,43.6586,-76.1123
Middleburgh,2,42.5482,-74.3271
Crane Hill,2,34.0154,-87.0722
Howard Beach,2,40.6679,-73.8492
Whitefield,2,44.3709,-71.5716
Busti,2,42.0704,-79.2519
Portola Valley,2,37.3817,-122.197
Galeton,2,41.7394,-77.6217
Flomaton (Pollard),2,31.0002,-87.2608
Nettie,2,38.25,-80.6751
Blue Hill,2,44.3797,-68.574
Taos (Valle Escondido),2,36.3699,-105.469
Mechanicsburg (Roby),2,39.7736,-89.3961
Plano (Murphy),2,33.019,-96.6183
Dunnellon (Citrus Springs),2,29.0058,-82.5006
Castle Rock (Castle Pines),2,39.3722,-104.856
Valley Glen,2,34.1759,-118.421
Delta (county),2,38.7328,-108.056
Readington,2,40.5707,-74.7404
Narvon,2,40.0963,-75.9764
Newalla,2,35.3338,-97.265
Bonners Ferry,2,48.6958,-116.309
Molina,2,39.1884,-108.061
Glenview,2,42.0912,-87.8588
Center Valley,2,40.5304,-75.397
Saint Paul (North Saint Paul),2,45.0002,-93.0024
Farber,2,39.2783,-91.5776
Acme,2,48.6821,-122.172
Kenwood,2,38.4415,-122.538
Commerce Township (Commerce Charter Township),2,42.5505,-83.4388
Lake Zurich (Long Grove),2,42.1871,-88.0097
Park Rapids,2,46.9188,-95.0666
Pearce (Sunizona),2,31.877,-109.648
Long Beach (Naples),2,33.7543,-118.124
Bentley (Prospect),2,31.5152,-92.4939
Tyonek,2,61.0605,-151.201
Mc Leansboro,2,38.0964,-88.5314
Whitinsville,2,42.1153,-71.6798
New Sharon,2,44.6498,-70.0046
Magalia,2,39.8318,-121.599
Drasco,2,35.6165,-92.0052
Coraopolis (Moon),2,40.5255,-80.1893
Dickson (county),2,36.0388,-87.4238
Atwood,2,39.7995,-88.4623
Twin Lake,2,43.3781,-86.2336
Spring (Klein),2,30.0211,-95.5239
Los Angeles (Firestone Park),2,33.9612,-118.246
Mission (Fairway),2,39.0205,-94.6398
Jefferson City (Jefferson Cty),2,38.5621,-92.1533
Kempner,2,31.0927,-97.9864
St. James,2,30.0922,-90.9298
Vevay,2,38.6933,-85.1874
Springwater,2,42.6547,-77.5959
Harper Heights,2,37.804,-81.2341
Tennille,2,32.9356,-82.8051
Omro,2,44.0351,-88.754
Pratt (county),2,37.6439,-98.7428
Saint Johns (St Johns),2,30.0573,-81.54
Fernandina Beach (Amelia Village),2,30.624,-81.4713
Durant (Silo),2,34.0048,-96.3857
Alcona (county),2,44.6583,-83.3406
Falls Of Rough,2,37.5867,-86.5349
Hopkins Park,2,41.0841,-87.6204
Aleknagik,2,59.268,-158.633
Ivydale (Big Otter),2,38.5937,-81.0624
Lahaina,2,20.9868,-156.668
Albany (Loudonville),2,42.6477,-73.7517
Horseshoe Bay,2,30.5467,-98.365
May Creek,2,47.8543,-121.667
Marland,2,36.5632,-97.1524
Jonesborough (Jonesboro),2,36.2966,-82.4941
Warden,2,46.989,-119.06
Shelby (Kingstown),2,35.1781,-81.5543
Baraboo (West Baraboo),2,43.4733,-89.7489
Bolingbroke,2,32.9486,-83.8013
Ramah,2,35.1331,-108.492
Belle Rive,2,38.1518,-88.741
Lowden,2,41.8611,-90.9439
Nash,2,33.4427,-94.1239
Baroda,2,41.9269,-86.4541
Claycomo,2,39.2025,-94.4925
East Quogue,2,40.8487,-72.5775
Vanduser,2,36.9932,-89.6834
Othello,2,46.8186,-119.194
Alcova,2,42.54,-106.744
Oconto (county),2,44.89,-87.8932
Gakona (Slana),2,62.7142,-143.986
Minneapolis (Spring Lake Park),2,45.0357,-93.2473
Council Grove,2,38.6617,-96.4783
Maringouin,2,30.488,-91.5184
Winnebago (county),2,42.2979,-89.1198
Harney (county),2,43.5818,-119.012
Buena Vista Township,2,39.5528,-74.8617
Shinnston (Pine Bluff),2,39.4166,-80.3268
