cities,killed,latitude,longitude
California City,1,35.1133,-117.964
Monroe Township,1,39.6402,-74.9638
Cincinnati (Cheviot),1,39.1641,-84.6062
Buncombe County,1,35.5931,-82.4753
Kahului,1,20.8721,-156.479
Charleston (county),1,32.7214,-79.9652
Palisade,1,39.1072,-108.404
Rootstown,1,41.0908,-81.2207
Los Gatos,1,37.2296,-121.983
Rogers (county),1,36.3481,-95.5905
Summit (county),1,40.7272,-111.547
Saint Johnsbury,1,44.4715,-71.9489
Saint Johns (county),1,30.0928,-81.5989
Muskogee (county),1,35.7479,-95.3697
Hanover Park,1,42.0077,-88.1446
Marlboro,1,41.6141,-73.9774
Graysville,1,33.6318,-86.9624
Somerton,1,32.4864,-114.642
Mahopac,1,41.3612,-73.7395
Monkton,1,44.221,-73.1013
Wahiawa,1,21.4983,-158.051
Lake Panasoffkee,1,28.7878,-82.1208
Potsdam,1,44.748,-75.0784
Stephenville,1,32.2273,-98.2358
Edwards,1,32.3283,-90.6034
Sissonville,1,38.5029,-81.6809
Rutherfordton,1,35.3657,-82.0104
Tarrant,1,33.5716,-86.7814
La Salle,1,41.8237,-83.4357
Indian Land,1,34.9792,-80.8558
Daviess County,1,38.7006,-87.1297
Lancaster County,1,40.0045,-76.3704
Lakeville,1,41.5226,-86.2746
Big Pine Key,1,24.6714,-81.3397
Bellefonte,1,40.9119,-77.7755
Land O Lakes (Land O' Lakes),1,28.2129,-82.4025
Peekskill,1,41.3003,-73.9126
Keyser,1,39.4441,-78.9859
Goffstown,1,43.0183,-71.6005
Urbandale,1,41.6294,-93.711
Canaan,1,43.6469,-72.0512
Bloomfield Hills (Bloomfield Township),1,42.6091,-83.2654
Melbourne (West Melbourne),1,28.0354,-80.6624
Jordan,1,43.075,-76.4041
Tionesta,1,41.4933,-79.45
Tecumseh,1,35.2608,-97.1068
Bryant,1,34.6233,-92.51
Camp Verde,1,34.5659,-111.855
Wixom,1,42.5233,-83.5766
Starke,1,29.9562,-82.1008
Canby,1,45.1726,-122.68
Saratoga Springs,1,40.3411,-111.917
Gloversville,1,43.0567,-74.3394
Mobile (Chickasaw),1,30.7654,-88.0749
Hoke (county),1,34.9949,-79.1896
Seattle (Capitol Hill),1,47.6017,-122.321
Central City,1,42.2005,-91.5265
Bradley (county),1,33.6124,-92.0776
Ridgewood,1,40.6999,-73.9059
Guilford,1,41.2695,-72.6697
Belle Rose,1,29.9931,-91.0527
Dry Creek,1,37.8676,-81.4563
Steamboat Springs,1,40.4822,-106.828
Knightdale,1,35.7979,-78.4926
Charleston (South Charleston),1,38.3661,-81.6974
Fair Haven,1,43.6081,-73.2739
Mount Zion,1,38.8945,-81.1739
Lyman,1,34.9731,-82.1564
Bound Brook,1,40.5614,-74.535
Colfax,1,46.8341,-117.365
Elmwood Park,1,41.9251,-87.8127
Ukiah,1,39.1455,-123.208
Lyndhurst,1,40.8064,-74.1257
Mecca,1,33.5694,-116.093
Blair,1,41.5427,-96.1447
Rocky Hill,1,41.6491,-72.6702
Osceola (county),1,28.3054,-81.3627
Orlando (Lockhart),1,28.615,-81.4277
Woodbine,1,39.2394,-74.8161
Bettendorf,1,41.5484,-90.519
Little River,1,33.8747,-78.6163
Zebulon,1,35.854,-78.3187
Woodland Hills,1,34.1829,-118.596
Daphne,1,30.6035,-87.8699
Braselton,1,34.1092,-83.7628
Abington,1,40.08,-75.1125
Normal,1,40.53,-88.983
Oak Cliff,1,32.6622,-96.8213
Greenville (county),1,34.7734,-82.2405
Prince Georges (county),1,38.7579,-76.9835
Cheektowaga,1,42.9207,-78.7963
Coal City,1,37.6903,-81.206
Collier (county),1,26.1856,-81.7066
Glenwood,1,34.3347,-93.5427
Onalaska,1,43.9343,-91.3
East Providence,1,41.7674,-71.3632
Oneida,1,36.5128,-84.5096
Parlier,1,36.6068,-119.544
Holton,1,39.0754,-85.3879
Taylor (county),1,30.0304,-83.5833
Dayton (Centerville),1,39.6635,-84.1137
Valley Springs,1,38.1486,-120.826
Waxhaw,1,34.886,-80.7009
Earlimart,1,35.8791,-119.265
Ellabell,1,32.2351,-81.509
Glen Allen,1,37.672,-77.5901
Poynette,1,43.3906,-89.4027
Martin County,1,27.1524,-80.1866
Allen Park,1,42.2779,-83.2143
Safford,1,32.7299,-109.714
Macclenny,1,30.2779,-82.1138
Pinson,1,33.6626,-86.6584
Wilson (county),1,35.7187,-77.9161
Umatilla,1,45.9189,-119.287
Diberville,1,30.4575,-88.8885
Walnut Ridge,1,35.9044,-90.9439
Opp,1,31.2693,-86.2518
Macomb,1,40.4624,-90.6747
Encinitas,1,33.0259,-117.256
Atlantic Beach,1,30.3391,-81.4149
Clyo,1,32.4763,-81.2586
Bethpage,1,36.5161,-86.3776
Denver (Federal Heights),1,39.8498,-105.001
Hoschton,1,34.0937,-83.7758
Pikesville,1,39.3652,-76.7529
Mabelvale,1,34.5325,-92.4079
Carpentersville,1,42.1188,-88.2758
Oakland Park,1,26.1817,-80.1447
Johnson County,1,32.4134,-97.3517
Owens Cross Roads,1,34.5959,-86.4155
Huntingburg,1,38.2988,-86.9587
Hiawatha,1,42.0388,-91.6788
Bibb (county),1,32.7754,-83.7626
Angie,1,30.8892,-89.819
Rogue River,1,42.4821,-123.156
Granby,1,36.9224,-94.2539
Rigby,1,43.6726,-111.915
Grass Valley,1,39.0595,-121.014
Welsh,1,30.2363,-92.8266
Rocky River,1,41.4735,-81.8338
Holden,1,30.4793,-90.6304
South Haven,1,42.3462,-86.2094
Tarentum,1,40.6046,-79.7525
Stevens Point,1,44.5229,-89.515
Saddle Brook,1,40.8917,-74.0913
Nevada City,1,39.2398,-121.006
Clemson,1,34.6834,-82.8374
Buzzards Bay (Bourne),1,41.7215,-70.6044
Sahuarita,1,31.9564,-110.956
Ottawa,1,38.5956,-95.2744
Winthrop,1,44.3212,-69.9124
Cincinnati (Green Township),1,39.2074,-84.6397
Pueblo West,1,38.3293,-104.743
Mounds,1,35.9011,-95.976
Oak Forest,1,41.6029,-87.7632
Cortland,1,42.5883,-76.182
Ocilla,1,31.6055,-83.2468
Washougal,1,45.5998,-122.307
Halifax,1,36.8381,-78.9998
Cottondale,1,30.7792,-85.4016
Weaverville,1,40.7211,-122.927
Augusta (Martinez),1,33.5139,-82.1351
Inwood,1,39.3663,-78.0382
Holly,1,42.7817,-83.5322
Cass Lake,1,47.3841,-94.6081
Round Lake,1,42.373,-88.1137
Grifton,1,35.3905,-77.529
San Antonio (Kirby),1,29.4593,-98.3957
Madill,1,34.0907,-96.775
Sampson (county),1,35.0115,-78.3972
Minneapolis (Richfield),1,44.8911,-93.3074
Interlachen,1,29.6192,-81.9434
Evergreen Park,1,41.735,-87.7071
Roslyn,1,40.8017,-73.6574
Vigo (county),1,39.4023,-87.3954
Courtland,1,34.2723,-89.9515
Parrish,1,27.551,-82.4278
Dunbarton,1,43.0836,-71.5588
Sinclairville,1,42.2305,-79.2991
Brimfield,1,42.1455,-72.2037
Dorchester (county),1,38.5645,-76.0941
Fort Mill (Indian Land),1,34.9659,-80.8571
Saucier,1,30.5477,-89.1902
Marysville (Tulalip),1,48.0507,-122.255
Alabaster,1,33.2352,-86.8203
Pottawatomie (county),1,35.3396,-96.983
Monte Vista,1,37.5811,-106.134
Dunkerton,1,42.5706,-92.1629
Benton City,1,46.194,-119.365
Seattle (Lake City),1,47.7198,-122.318
Kemper (county),1,32.8043,-88.9143
Harrison County,1,38.1701,-86.1752
San Lorenzo,1,37.6808,-122.138
Herndon,1,38.9142,-77.403
Bessemer City,1,35.2686,-81.2792
Pauls Valley,1,34.7435,-97.2108
Bellvue,1,40.7469,-105.625
Old Saybrook,1,41.2851,-72.4196
Pittsburgh (Bellevue),1,40.4302,-80.0074
Crystal Springs,1,31.9733,-90.363
Eaton (county),1,42.4246,-86.2684
Dunedin,1,28.0246,-82.7635
Springfield Gardens (Laurelton),1,40.6777,-73.7452
Woodbury (West Deptford),1,39.8228,-75.1622
Lockwood,1,37.3898,-93.9616
Putnam,1,41.9074,-71.9188
Clearlake,1,38.9491,-122.631
Guilford County,1,35.924,-79.9478
Hardy,1,36.3325,-91.5208
Forest Acres,1,34.0197,-80.9893
De Pere,1,44.4144,-88.0857
North Branch,1,43.1942,-83.1551
Floresville,1,29.1433,-98.1548
Harmony,1,44.9638,-69.575
Commerce Township,1,42.5723,-83.4583
Century,1,30.9971,-87.2582
Kaufman (county),1,32.741,-96.4479
Weirton,1,40.4081,-80.5887
Lonoke,1,34.779,-91.904
Morgan County,1,34.5108,-86.7914
Ponca City,1,36.7105,-97.0656
Tishomingo,1,34.2888,-96.7819
Valdese,1,35.7286,-81.6149
Benton County,1,40.6442,-87.362
Adams,1,42.6322,-73.1102
Pleasant Valley,1,41.7191,-73.7975
Marble Hill,1,37.3245,-89.98
Daytona Beach (South Daytona),1,29.1756,-81.0091
Pearl City,1,21.3972,-157.973
White Plains (Greenburgh),1,41.0473,-73.797
Togiak,1,59.2066,-160.502
Attica,1,42.7984,-78.3964
La Vista,1,41.1828,-96.0474
Homerville,1,31.0402,-82.7471
Rowland Heights,1,33.9935,-117.884
Philipsburg,1,40.8869,-78.2175
Greenville County,1,34.9018,-82.3354
Lake (county),1,43.8986,-85.8735
Rutherford,1,36.1269,-88.9854
Brick (Wall Township),1,40.2015,-74.0807
Kosciusko (county),1,41.2252,-85.8558
Ottawa (county),1,41.5488,-83.0557
Penrose,1,38.4347,-105.017
Lake Worth (Hypoluxo),1,26.5666,-80.0506
North Attleboro,1,41.9727,-71.372
Tarboro (Princeville),1,35.9018,-77.544
Pottsville,1,40.6856,-76.1981
Fyffe,1,34.4045,-85.9654
Bay Shore (North Bay Shore),1,40.7551,-73.2736
Smithtown,1,40.8553,-73.1929
Nassau,1,42.4854,-73.6719
Clayton (county),1,33.5682,-84.3709
Sartell,1,45.6095,-94.2138
Tobyhanna (Coolbaugh Township),1,41.196,-75.3696
Neeses,1,33.5264,-81.0907
Pike Road,1,32.3637,-86.0554
Chester (Feltonville),1,40.0396,-75.6327
Shawnee (Merriam),1,39.0256,-94.7039
Swanzey,1,42.8815,-72.2886
Bedford Park,1,41.7744,-87.7839
Moorestown,1,39.9451,-74.9595
Coweta,1,35.9519,-95.6416
Chino Hills,1,34.0124,-117.751
Stonewall,1,32.1404,-88.7827
The Dalles,1,45.6219,-121.213
New Ellenton,1,33.4174,-81.6819
Mount Pleasant (Mt Pleasant),1,33.1478,-94.9784
Sebastian (county),1,35.3593,-94.3657
Indian River County,1,27.5817,-80.4246
Pequot Lakes,1,46.5588,-94.2663
Willoughby,1,41.6277,-81.4266
Tuttle,1,35.2831,-97.7241
Broken Bow,1,41.3475,-99.7535
Mentor,1,41.6559,-81.3734
Appleton (Grand Chute),1,44.2575,-88.4473
Archer,1,29.5355,-82.5223
Norco,1,33.9017,-117.571
Hoffman Estates,1,42.0443,-88.0718
West New York,1,40.7889,-74.022
Malibu,1,34.0765,-118.952
Isle Of Palms,1,32.7842,-79.7899
Bay,1,35.7453,-90.5687
Moraine,1,39.7016,-84.2472
Polk County,1,27.9913,-81.6617
Fridley,1,45.0693,-93.2647
Flagler County,1,29.4311,-81.1045
Effort,1,40.9849,-75.468
Frackville,1,40.7767,-76.2257
Winnebago County,1,43.3482,-93.6623
Villa Ridge,1,38.4755,-90.887
Shakopee,1,44.7721,-93.4142
Campbell (county),1,37.1621,-79.2206
Elkridge,1,39.2078,-76.7318
Argyle,1,33.1227,-97.1834
Russell,1,41.959,-79.135
Lonsdale,1,34.5561,-92.8109
Clementon,1,39.8068,-75.026
Camp Hill,1,40.2327,-76.8984
Owensville,1,38.3372,-87.6549
Towson,1,39.4024,-76.6172
George County,1,30.8225,-88.6207
Philippi,1,39.1522,-80.0392
Vanceboro,1,35.2959,-77.181
Delco,1,34.3017,-78.2969
Dracut,1,42.6782,-71.3429
San Dimas,1,34.0868,-117.827
Craven County,1,35.0878,-77.0564
Kaneohe,1,21.4127,-157.788
Troutman,1,35.7187,-80.8787
Millersburg,1,39.9974,-76.3559
George (county),1,30.8748,-88.579
Wagoner (county),1,36.0753,-95.4945
Cheviot,1,39.1619,-84.6034
Peachtree City,1,33.4048,-84.5597
Roanoke (county),1,37.3252,-80.0106
Bayboro,1,35.1367,-76.8019
Escanaba,1,45.7245,-87.0678
Hertford,1,36.1879,-76.4702
Duxbury,1,42.0502,-70.687
Bayside,1,40.7566,-73.7731
San Bruno,1,37.6208,-122.411
Mercer,1,46.1719,-90.0733
Manistee,1,44.2665,-86.3077
Wethersfield,1,41.6953,-72.6541
Rifle,1,39.5523,-107.773
Columbia (county),1,30.1444,-82.6195
Saint Johns,1,30.0705,-81.5328
Chatham County,1,35.8264,-78.9646
Cheney,1,47.4976,-117.565
Miami (North Miami),1,25.8965,-80.1604
Winsted,1,41.0402,-73.5597
Saint Lucie (county),1,27.2498,-80.3814
Waite Park,1,45.5457,-94.2229
Fairfax (county),1,38.8716,-77.1553
Pottawatomie County,1,35.2754,-97.0068
Rankin,1,40.4635,-87.9713
Rochester (Irondequoit),1,43.1964,-77.6012
Pickerington,1,39.8781,-82.7761
Dinwiddie (county),1,37.0741,-77.5584
Boulder (county),1,39.9559,-105.162
White Hall,1,34.2823,-92.1118
West Windsor,1,40.2901,-74.6766
Belltown,1,47.6147,-122.345
Spiro,1,35.243,-94.6176
West Milford,1,39.199,-80.4042
Center,1,31.7924,-94.161
High Ridge,1,38.4647,-90.5282
Myrtle,1,40.1439,-92.0096
Haltom City,1,32.8,-97.262
Estacada,1,45.2691,-122.256
Burleson,1,32.5299,-97.3353
Tombstone,1,31.7119,-110.066
Leighton,1,34.6984,-87.5291
Pierson,1,29.2435,-81.4625
Conestoga,1,39.9434,-76.34
Black Hawk,1,44.172,-103.333
Empire,1,37.6473,-120.906
Davison,1,42.9854,-83.5261
Lisle,1,41.7999,-88.0694
Oak Creek,1,42.8985,-87.9148
Lake Orion,1,42.7232,-83.2928
Riverhead (Flanders),1,40.9129,-72.632
Beekman,1,41.6109,-73.7129
Siloam Springs,1,36.1541,-94.4824
Pueblo (Bessemer),1,38.2477,-104.636
Pickens,1,32.8974,-89.9726
Trumann,1,35.6665,-90.515
Montague,1,41.6472,-122.52
Summit,1,31.2915,-90.4751
Lady's Island,1,32.4141,-80.6501
Fallbrook,1,33.3747,-117.258
Cape May,1,38.9565,-74.9042
Iredell County,1,35.5428,-80.831
Rockwall,1,32.9273,-96.4629
Battle Ground,1,45.7768,-122.557
Carolina Beach,1,34.0352,-77.8936
Cupertino,1,37.3375,-122.041
Pamplico,1,33.9768,-79.5716
Hinton,1,37.6482,-80.8822
Gray Court,1,34.5563,-82.2132
Wilmore,1,37.8609,-84.664
Campbell County,1,36.3817,-84.1857
Larimer,1,40.4599,-79.9096
Keaau,1,19.5527,-154.973
Chiloquin,1,42.5423,-121.402
Hialeah (Miami Lakes),1,25.9196,-80.3071
Thompson,1,41.8901,-75.5481
Rowan County,1,35.7307,-80.4679
Phillipsburg,1,40.6935,-75.1698
Hollandale,1,43.7659,-93.2496
Medina County,1,29.4541,-98.8214
Camilla,1,31.2283,-84.2014
Freeland,1,41.0332,-75.9067
Randleman,1,35.7885,-79.7818
Adams Run,1,32.8048,-80.4012
Cushing,1,44.0158,-69.2487
Savoy,1,33.6113,-96.3576
Bellmead,1,31.591,-97.0955
Haverstraw,1,41.1958,-73.9644
Pageland,1,34.7733,-80.4003
Black River Falls,1,44.2931,-90.8509
Catawba,1,35.7873,-81.2257
South Euclid,1,41.5259,-81.5153
Somers Point,1,39.3124,-74.6174
Saint Louis (Bellefontaine Neighbors),1,38.7309,-90.2398
Pittsburg (county),1,34.9339,-95.7612
Fort Myers Beach,1,26.4668,-81.952
Saint Paul (Oakdale),1,45.0106,-92.9848
Ankeny,1,41.701,-93.5822
Spartanburg (county),1,34.9366,-81.9923
Bassett,1,36.7914,-79.997
Craighead (county),1,35.8292,-90.7258
Belle Vernon,1,40.1342,-79.8819
Yakima (Union Gap),1,46.5688,-120.512
Okemos,1,42.6946,-84.4253
Walsenburg,1,37.6392,-104.815
Elloree,1,33.5322,-80.5229
Terry,1,32.2019,-90.2964
Norwood,1,35.2186,-80.1287
Fair Bluff,1,34.3022,-79.0183
Hummelstown,1,40.3033,-76.7313
Boulder City,1,35.968,-114.895
Kearns,1,40.6438,-111.997
Splendora,1,30.2211,-95.1392
Spanish Lake,1,38.7831,-90.2043
Fernley,1,39.6077,-119.256
Vernonia,1,45.8476,-123.249
Wahpeton,1,46.2817,-96.6091
Milwaukee (Brown Deer),1,43.1749,-87.9845
Brookpark (Brook Park),1,41.4035,-81.8137
Salinas (Prunedale),1,36.7983,-121.645
Lake Jackson,1,29.0513,-95.4358
Rainier,1,45.9995,-122.956
Marco Island,1,25.9396,-81.7213
Elkview,1,38.5016,-81.4803
Neptune Beach,1,30.3223,-81.3972
Amity,1,45.1082,-123.194
Saint Stephen,1,33.4249,-79.9488
Chambers County,1,29.77,-94.6636
Middlefield,1,41.5184,-72.7383
New Orleans (Broadmoor),1,29.9433,-90.1014
Pittsylvania (county),1,36.595,-79.2834
Seagrove,1,35.5945,-79.698
Orofino,1,46.498,-116.316
Iowa,1,30.2102,-93.1008
Breckenridge,1,46.2641,-96.5882
Woodbridge (Dale City),1,38.6278,-77.3233
Morrison,1,41.8095,-89.9793
Kane,1,41.6635,-78.7999
Brown County,1,38.93,-83.8699
Colerain Township,1,39.2717,-84.5691
Palm Harbor,1,28.0519,-82.7573
Charlotte (county),1,37.0475,-78.8455
Stony Point,1,41.2349,-74.073
Buckner,1,38.3939,-85.44
Waskom,1,32.4821,-94.0729
Allyn,1,47.3755,-122.835
Alorton,1,38.5881,-90.1143
Dewey,1,36.8271,-95.9354
Weld County,1,40.5013,-104.584
Kearny,1,40.7639,-74.1402
Baxter,1,46.3542,-94.2418
Langston,1,35.945,-97.2553
King,1,36.2943,-80.3382
Zellwood,1,28.729,-81.6031
Dalhart,1,36.0683,-102.516
Stevens,1,40.2139,-76.1262
West Bend,1,43.4025,-88.181
Redfield,1,43.5497,-75.8584
Susquehanna,1,40.2868,-76.8395
Mamou,1,30.5935,-92.4068
Selden,1,40.8623,-73.058
Colorado Springs (Fort Carson),1,38.7363,-104.783
Saint Paul (Woodbury),1,44.9384,-92.8924
Montevallo,1,33.1228,-86.5894
Burlington (Burlington City),1,40.0407,-74.8758
Ashland City,1,36.192,-87.0627
Efland,1,36.0736,-79.1695
Brodhead,1,37.3753,-84.4389
Harrisburg (Penbrook),1,40.2769,-76.8461
Commodore,1,40.7156,-78.9205
Westbrook,1,43.6768,-70.3646
Kipnuk,1,59.9219,-164.057
Altavista,1,37.1135,-79.2831
Belvidere,1,42.2414,-88.8455
Ash Flat,1,36.219,-91.6253
Ocean View,1,19.1127,-155.757
Hector,1,35.4584,-92.9979
York (West York),1,39.9533,-76.7518
Cincinnati (Camp Washington),1,39.1326,-84.5334
Osage County,1,36.415,-96.0379
Myrtle Beach (Surfside Beach),1,33.631,-78.9703
Bruce,1,33.9911,-89.339
Fraser,1,42.5379,-82.934
Vilonia,1,35.0859,-92.2564
Gladwin (county),1,44.0323,-84.4765
Winston Salem,1,36.0603,-80.3109
Acton,1,43.5715,-70.9012
Wenatchee,1,47.4351,-120.327
Geneva (county),1,31.088,-85.55
West Linn,1,45.351,-122.679
Columbus (Bexley),1,39.9489,-82.9399
Hamer,1,34.5217,-79.3769
Wayland,1,42.6595,-85.5841
Sardis,1,34.4206,-89.9047
Baton Rouge (Scotlandville),1,30.5385,-91.1776
Elk Grove Village,1,41.9991,-87.9595
Ohio County,1,38.9776,-85.0011
Wheatfield,1,43.0917,-78.881
Syracuse (Dewitt),1,43.0788,-76.1015
Blackfoot,1,43.1904,-112.346
Springdale (Bethel Heights),1,36.2323,-94.1216
La Fayette (Lafayette),1,42.895,-76.1068
Willowbrook,1,41.7231,-87.9535
Tangipahoa Parish,1,30.632,-90.2698
Grand Island,1,40.9013,-98.3208
Iowa Falls,1,42.5147,-93.2609
West Chicago,1,41.8923,-88.2198
Indianola,1,33.4343,-90.6482
